feature,coefficient,abs_coefficient
mfcc_01_std,-1.5132012987008825,1.5132012987008825
mfcc_03_std,1.0506919749194465,1.0506919749194465
mfcc_01_mean,-0.9751959793780831,0.9751959793780831
zcr_std,-0.8818422763017708,0.8818422763017708
mfcc_10_mean,0.7993308445935571,0.7993308445935571
mfcc_07_mean,0.7806407576605227,0.7806407576605227
mfcc_13_mean,-0.7439109860111962,0.7439109860111962
rolloff_p90,0.7354483146737928,0.7354483146737928
mfcc_09_mean,-0.7330656377512142,0.7330656377512142
centroid_std,0.7149861709371989,0.7149861709371989
bandwidth_p10,-0.6942678214012419,0.6942678214012419
mfcc_12_mean,0.5253312604020252,0.5253312604020252
mfcc_02_mean,-0.49657264011979424,0.49657264011979424
mfcc_04_mean,-0.4824145767495997,0.4824145767495997
bandwidth_mean,-0.4387003373181498,0.4387003373181498
mfcc_05_std,0.4290367937704228,0.4290367937704228
mfcc_02_std,0.4289974311743692,0.4289974311743692
signal_abs_p95,-0.4207242095819364,0.4207242095819364
mfcc_05_mean,0.3764856849512599,0.3764856849512599
flatness_mean,-0.36303992543277647,0.36303992543277647
centroid_p10,0.3485267255826502,0.3485267255826502
low_band_fraction,0.3108286649805843,0.3108286649805843
zcr_p90,-0.2811260364781017,0.2811260364781017
rolloff_mean,0.27506765282809126,0.27506765282809126
flatness_p90,0.2638978812303165,0.2638978812303165
flatness_std,0.2252888790482345,0.2252888790482345
mfcc_03_mean,-0.21316864311189895,0.21316864311189895
rolloff_std,0.20125328625791827,0.20125328625791827
zcr_mean,-0.1985759282495695,0.1985759282495695
mfcc_06_std,-0.17505200020778625,0.17505200020778625
mfcc_11_mean,-0.1701383656959022,0.1701383656959022
bandwidth_p90,0.16653789944619143,0.16653789944619143
centroid_mean,0.14712515091323355,0.14712515091323355
mfcc_08_std,0.14655709302932657,0.14655709302932657
zcr_p10,-0.1405680483357623,0.1405680483357623
centroid_p90,0.13516905672506124,0.13516905672506124
mfcc_09_std,-0.12521021795137013,0.12521021795137013
mfcc_10_std,0.11885688086475886,0.11885688086475886
mfcc_11_std,-0.10822735000059988,0.10822735000059988
mfcc_08_mean,0.09163818212879822,0.09163818212879822
mfcc_07_std,0.08840757908939655,0.08840757908939655
mfcc_06_mean,0.08610232007617455,0.08610232007617455
mfcc_12_std,-0.08283675438448472,0.08283675438448472
flatness_p10,-0.07720881527713534,0.07720881527713534
high_band_fraction,0.07116120511490406,0.07116120511490406
mfcc_13_std,-0.06096284897392685,0.06096284897392685
rolloff_p10,0.043024711338248936,0.043024711338248936
signal_rms,-0.04148200092616851,0.04148200092616851
bandwidth_std,-0.026637329427967187,0.026637329427967187
mfcc_04_std,6.305956366038477e-05,6.305956366038477e-05
duration_seconds,0.0,0.0
